Diese Datei gibt Ihnen einen kurzen Ueberblick, welche Variablen im
portable file des ALLBUS 2014 enthalten sind:

Variable       Position Beschriftung
V119           119      BEFR.: ARBEITSSTUNDEN PRO WOCHE, KATEG.
V120           120      ANZAHL,BESCHAEFTIGTE B.D. ARBEITSSTELLE
V121           121      ANZAHL,BESCHAEFTIGTE, KATEGORISIERT
V122           122      BERUFLICHE AUFSICHTSFUNKTION, BEFR.?
V123           123      ZAHL DER GGF. BEAUFSICHTIGTEN PERSONEN
V124           124      ZAHL DER BEAUFSICHTIGTEN, KATEG.
V125           125      FURCHT: STELLUNGSVERLUST, ARBEITNEHMER
V126           126      FURCHT: BETRIEBSVERLUST, SELBSTAENDIGE
V127           127      BERUFST.: ARBEITSLOS I.D. LETZTEN 10 J.?
V128           128      DAUER DER ARBEITSLOSIGKEIT IN WOCHEN
V129           129      DAUER DER ARBEITSLOSIGKEIT, KATEGORIS.
V130           130      BERUFSERFOLGVERGLEICH: BEFR. MIT VATER
V131           131      BERUFSERFOLGVERGL.:BEFR.+VATER<5 KATEG.>
V132           132      BERUFSERFOLGVERGLEICH: BEFR. MIT MUTTER
V133           133      BERUFSERFOLGVERGL.:BEFR.+MUTTER<5 KAT.>
V134           134      ERWERBSTAETIGKEIT NEBEN DEM HAUPTBERUF
V135           135      ARBEITSSTUNDEN PRO WOCHE,ZWEITTAETIGKEIT
V136           136      ARBEITSSTUNDEN ZWEITTAETIGKEIT, KAT.
V137           137      BEFR.:NEBENERWERB; ARBEITSSTD. PRO WOCHE
V138           138      BEFR.: NEBENERWERB; ARBEITSSTUNDEN, KAT.
V139           139      BEFR.: STATUS DER NICHTERWERBSTAETIGKEIT
V140           140      BEFR.: BIS WANN BERUFSTAETIG GEWESEN?
V141           141      BEFR.: WANN AUFGABE DES BERUFS, KATEG.
V142           142      BEFR.: LETZTE BERUFLICHE STELLUNG
V143           143      BEFR.: LETZTE BERUFL.STELL., KENNZIFFER
V144           144      BEFR.: LETZTER BERUF; ISCO 1988
V145           145      BEFR.: LETZTER BERUF; SIOPS I88
V146           146      BEFR.: LETZTER BERUF; SIOPS I88, KATEG.
V147           147      BEFR.: ISEI GANZEBOOM, LETZTER BERUF I88
V148           148      BEFR.: ISEI, LETZTER BERUF I88, KATEG.
V149           149      BEFR.: LETZTER BERUF; ISCO 2008
V150           150      BEFR.: LETZTER BERUF; SIOPS I08
V151           151      BEFR.: LETZTER BERUF; SIOPS I08, KATEG.
V152           152      BEFR.: ISEI GANZEBOOM, LETZTER BERUF I08
V153           153      BEFR.: ISEI GANZEBOOM, L.BERUF I08, KAT.
V154           154      NICHTBERUFST.:EHEDEM ARBEITSLOS GEWESEN?
V155           155      ARBEITSLOS:EHEDEM ARBEITSLOS GEWESEN?
V156           156      DAUER <EHEMALIGER> ARBEITSLOSIGKEIT
V157           157      DAUER <EHEMALIGER> ARBEITSLOSIGKEIT,KAT.
V158           158      WANN ERSTMALS HAUPTBERUFL.TAETIG?
V159           159      JAHR DER 1. HAUPTBERUFL.TAETIGKEIT, KAT.
V160           160      1.HAUPTBERUF, BERUFLICHE STELLUNG
V161           161      1.HAUPTBERUF, BERUFLICHE STELLUNG,KENNZ.
V162           162      1.HAUPTBERUF, ISCO 1988
V163           163      1.HAUPTBERUF, SIOPS 1988
V164           164      1.HAUPTBERUF, SIOPS 1988, KATEGORISIERT
V165           165      ISEI GANZEBOOM, 1.HAUPTBERUF, 1988
V166           166      ISEI GANZEBOOM, 1.HAUPTBERUF, 1988, KAT.
V167           167      1.HAUPTBERUF, ISCO 2008
V168           168      1.HAUPTBERUF, SIOPS I08
V169           169      1.HAUPTBERUF, SIOPS I08, KATEGORISIERT
V170           170      ISEI GANZEBOOM, 1.HAUPTBERUF, I08
V171           171      ISEI GANZEBOOM, 1.HAUPTBERUF, I08, KAT.
V172           172      SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.
V173           173      GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?
V174           174      BESSER JEDER FUER SICH SELBST SORGEN?
V175           175      UNTERNEHMERGEWINNE FOERDERN WIRTSCHAFT
V176           176      STAAT: FUER ARBEIT+STABILE PREISE SORGEN
V177           177      STAAT: BEI NOT+ARBEITSLOSIGK. VERSORGEN
V178           178      STAAT: SOZ.SICH.REDUZIERT ARBEITSWILLEN
V179           179      IN DER BRD KANN MAN SEHR GUT LEBEN
V180           180      GEWINNE WERDEN I.D. BRD GERECHT VERTEILT
V181           181      UNGLEICHH.I.D.BRD NICHT WEIT.REDUZIERBAR
V182           182      BILDUNGSMOEGL.I.D.BRD:JEDER N.S.BEGABUNG
V183           183      WEG Z.ERFOLG:OPPORTUNISM.,RUECKSICHTSLOS
V184           184      WEG ZUM ERFOLG: BILDUNG, AUSBILDUNG
V185           185      WEG ZUM ERFOLG: POLITISCHE BETAETIGUNG
V186           186      WEG ZUM ERFOLG: ZUFALL, GLUECK
V187           187      WEG ZUM ERFOLG: INTELLIGENZ
V188           188      WEG ZUM ERFOLG: BEZIEHUNGEN, PROTEKTION
V189           189      WEG ZUM ERFOLG: LEISTUNG, FLEISS
V190           190      WEG ZUM ERFOLG: GELD, VERMOEGEN
V191           191      WEG Z.ERFOLG: INITIATIVE, DURCHSETZUNG
V192           192      WEG Z.ERFOLG: HERKUNFT, RICHTIGE FAMILIE
V193           193      WEG Z.ERFOLG: BESTECHUNG, KORRUPTION
V194           194      ERFOLGSBED.,BRD: KLASSENZUGEHOERIGKEIT
V195           195      ERFOLGSBED.,BRD: ELTERNHAUS, SCHICHT
V196           196      ERFOLGSBED.,BRD: BILDUNG,NICHT HERKUNFT
V197           197      ERFOLGSBED.,BRD: KONJUNKTUR,SOZIALLEIST.
V198           198      GUTES GELD FUER JEDEN,AUCH OHNE LEISTUNG
V199           199      EINKOMMENSDIFFERENZ ERHOEHT MOTIVATION
V200           200      RANGUNTERSCHIEDE SIND AKZEPTABEL
V201           201      SOZIALE UNTERSCHIEDE SIND GERECHT
V202           202      PERSOENLICH.ALTERSSICHERUNG AUSREICHEND?
V203           203      BEFR.: MEINUNG Z.SOZ.SICHERUNG GEBILDET?
V204           204      SOZIALE LEISTUNGEN: KUERZEN-AUSWEITEN?
V205           205      BRAUCHT MAN FAMILIE ZUM GLUECK?
V206           206      HEIRAT BEI DAUERNDEM ZUSAMMENLEBEN
V207           207      GRUND FUER HEIRAT: KIND
V208           208      VERTRAUEN ZU MITMENSCHEN
V209           209      POLITISCHES INTERESSE, BEFR. <ORDINAL>
V210           210      WICHTIGKEIT VON RUHE UND ORDNUNG
V211           211      WICHTIGKEIT VON BUERGEREINFLUSS
V212           212      WICHTIGKEIT DER INFLATIONSBEKAEMPFUNG
V213           213      WICHTIGKEIT V. FREIER MEINUNGSAEUSSERUNG
V214           214      INGLEHART-INDEX
V215           215      LINKS-RECHTS-SELBSTEINSTUFUNG, BEFR.
V216           216      ZUFRIEDEN MIT DEMOKRATIE IN DER BRD?
V217           217      GERECHT: MEHR LEISTUNG, MEHR VERDIENST
V218           218      GERECHT: GLEICHE LEBENSBEDINGUNGEN
V219           219      GERECHT: VORTEILE DURCH HERKUNFT
V220           220      GERECHT: UM SCHWAECHERE KUEMMERN
V221           221      GERECHT: BEKOMMEN, WAS ERARBEITET WURDE
V222           222      GERECHT: UNTERSTUETZUNG VON PFLEGENDEN
V223           223      GERECHT: EINKOMMEN GLEICH VERTEILT
V224           224      GERECHT: WENN OBENSTEHENDE BESSER LEBEN
V225           225      GESUNDHEITSZUSTAND BEFR.
V226           226      GESUNDHEITSZUSTAND BEFR. <6 KATEGORIEN>
V227           227      GESUNDHEITL. PROBLEME: TREPPENSTEIGEN
V228           228      GESUNDHEITL. PROBLEME: ALLTAGSTAETIGKEIT
V229           229      LETZTE 4 WOCHEN: HETZE, UNTER ZEITDRUCK
V230           230      LETZTE 4 WOCHEN: NIEDERGESCHLAGEN
V231           231      LETZTE 4 WOCHEN: RUHIG, AUSGEGLICHEN
V232           232      LETZTE 4 WOCHEN: JEDE MENGE ENERGIE
V233           233      LETZTE 4 WOCHEN: KOERPERLICHE SCHMERZEN
V234           234      LETZTE 4 WOCHEN: EINSAM
V235           235      LETZTE 4 W.: WENIG GESCHAFFT WG. KOERPER
V236           236      LETZTE 4 W.: EINGESCHRAENKT WG. KOERPER
V237           237      LETZTE 4 W.: WENIG GESCHAFFT WG. SEELE
V238           238      LETZTE 4 W.: EINGESCHRAENKT WG. SEELE
V239           239      LETZTE 4 WOCHEN: KONTAKTE EINGESCHRAENKT
V240           240      BEFR.: ALLERGIE
V241           241      BEFR.: MIGRAENE
V242           242      BEFR.: BLUTHOCHDRUCK,HYPERTONIE
V243           243      BEFR.: DURCHBLUTUNGSTOERUNG AM HERZEN
V244           244      BEFR.: RHEUMA, ARTHRITIS, GICHT
V245           245      BEFR.: WIRBELSAEULENSCHAEDEN
V246           246      BEFR.: CHRONISCHE BRONCHITIS
V247           247      BEFR.: ASTHMA
V248           248      BEFR.: HEPATITIS, LEBERZIRRHOSE
V249           249      BEFR.: ZUCKERKRANKHEIT, DIABETES
V250           250      BEFR.: KREBS
V251           251      BEFR.: OSTEOPOROSE
V252           252      BEFR.: SONSTIGE KRANKHEITEN
V253           253      BEFR.: SONSTIGE KRANKHEITEN, 1. NENNUNG
V254           254      BEFR.: SONSTIGE KRANKHEITEN, 2. NENNUNG
V255           255      BEFR.: LETZTE 4 WOCHEN KRANK GEWESEN?
V256           256      ARZTBESUCH L. 3 MONATE: AKUT KRANK
V257           257      ARZTBESUCH L. 3 MONATE: CHRONISCH KRANK
V258           258      ARZTBESUCH: BEFINDLICHKEITSSTOERUNG
V259           259      ARZTBESUCH L. 3 MONATE: BERATUNG
V260           260      ARZTBESUCH L. 3 MONATE: NUR PRAXISBESUCH
V261           261      ARZTBESUCH L. 3 MONATE: VORSORGE,IMPFUNG
V262           262      ARZTBESUCH L. 3 MONATE: SONSTIGER GRUND
V263           263      SONSTIGER GRUND FUER ARZTBESUCH
V264           264      ARZTBESUCHE IN DEN LETZTEN 3 MONATEN
V265           265      ARZTBESUCHE IN DEN LETZTEN 3 MONATEN,KAT
V266           266      KRANKENHAUSAUFENTHALT LETZTE 12 MONATE
V267           267      NAECHTE I.KRANKENHAUS LETZTE 12 MONATE
V268           268      NAECHTE I.KRANKENHAUS L. 12 MONATE, KAT.
V269           269      BEFR. SCHWERBEHINDERT?
V270           270      BEHINDERUNGSGRAD BEFR.
V271           271      BEHINDERUNGSGRAD BEFR., KATEGORISIERT
V272           272      RAUCHEN SIE?
V273           273      ANZAHL TABAKPRODUKTE PRO TAG
V274           274      ANZAHL TABAKPRODUKTE PRO TAG, KATEGORIS.
V275           275      KOERPERGROESSE IN CM, BEFRAGTE<R>
V276           276      KOERPERGROESSE, BEFRAGTE<R>, KATEG.
V277           277      GEWICHT IN KG, BEFRAGTE<R>
V278           278      GEWICHT, BEFRAGTE<R>, KATEGORISIERT
V279           279      BODY-MASS-INDEX
V280           280      BODY-MASS-INDEX, KATEGORISIERT
V281           281      KONSUMHAUEFIGKEIT:VOLLKORN-,MEHRKORNBROT
V282           282      KONSUMHAUEFIGKEIT: WEISSBROT, TOASTBROT
V283           283      KONSUMHAUEFIGKEIT: OBST
V284           284      KONSUMHAUEFIGKEIT: GEMUESE<FRISCH,KUEHL>
V285           285      KONSUMHAUEFIGKEIT: FLEISCH, WURST
V286           286      KONSUMHAUEFIGKEIT: FRITTIERTE SPEISEN
V287           287      KONSUMHAUEFIGKEIT: SUESSWAREN, GEBAECK
V288           288      KONSUMHAUEFIGKEIT: BIER ODER WEIN
V289           289      KONSUMHAUEFIGKEIT: SPIRITUOSEN
V290           290      ARBEITSBED.: LAERM, SCHLECHTE LUFT
V291           291      ARBEITSBED.: ZEIT-, LEISTUNGSDRUCK
V292           292      ARBEITSBED.: SCHLECHTES ARBEITSKLIMA
V293           293      ARBEITSBED.: LANGE ARBEITSZEIT
V294           294      ARBEITSBED.: SCHICHTARBEIT
V295           295      ARBEITSBED.: SCHWERE KOERPERARBEIT
V296           296      HAEUFIGKEIT UNGERECHTER KOLLEGENKRITIK
V297           297      FAMILIENSTAND, BEFRAGTE<R>
V298           298      GEGENWAERTIGER EHEPARTNER: GEBURTSMONAT
V299           299      GEGENWAERTIGER EHEPARTNER: GEBURTSJAHR
V300           300      GEGENWAERTIGER EHEPARTNER: ALTER
V301           301      GEGENWAERTIGER EHEPARTNER: ALTER, KAT.
V302           302      GEGENW.EHEP.: ALLGEMEIN.SCHULABSCHLUSS
V303           303      GEGENW.EHEP.: BERUFL.-BETR. ANLERNZEIT
V304           304      GEGENW.EHEP.: TEILFACHARBEITERABSCHLUSS
V305           305      GEGENW.EHEP.: GEWERBL.-,LANDWIRT. LEHRE
V306           306      GEGENW.EHEP.: KAUFMAENNISCHE LEHRE
V307           307      GEGENW.EHEP.: BERUFL.PRAKTIKUM, VOLONT.
V308           308      GEGENW.EHEP.: BERUFSFACHSCHULABSCHLUSS
V309           309      GEGENW.EHEP.: FACHSCHULABSCHLUSS
V310           310      GEGENW.EHEP.: MEISTER-,TECHNIKERABSCHL.
V311           311      GEGENW.EHEP.: FACHHOCHSCHULABSCHLUSS
V312           312      GEGENW.EHEP.: HOCHSCHULABSCHLUSS
V313           313      GEGENW.EHEP.: ANDERER BERUFL.ABSCHLUSS
V314           314      GEGENW.EHEP.: KEIN BERUFL.ABSCHLUSS
V315           315      GEGENW.EHEP.: ART DES FH-ABSCHLUSSES
V316           316      GEGENW.EHEP.: ART DES UNI-ABSCHLUSSES
V317           317      GEGENW.EHEP.: ISCED 1997 - 6 STUFEN
V318           318      GEGENW.EHEP.: ISCED 2011
V319           319      GEGENWAERTIGER EHEP. BERUFSTAETIG?
V320           320      GEGENW.EHEP.: JETZIGE BERUFL. STELLUNG
V321           321      GEGENW.EHEP.: JETZIGE BERUFL.STELLUNG,KZ
V322           322      GEGENW.EHEP.: JETZIGER BERUF; ISCO 1988
V323           323      GEGENW.EHEP.: SIOPS I88
V324           324      GEGENW.EHEP.: SIOPS I88, KATEGORISIERT
V325           325      GEGENW.EHEP.: ISEI NACH GANZEBOOM I88
V326           326      GEGENW.EHEP.: ISEI GANZEBOOM I88, KATEG.
V327           327      GEGENW.EHEP.: JETZIGER BERUF; ISCO 2008
V328           328      GEGENW.EHEP.: SIOPS I08
V329           329      GEGENW.EHEP.: SIOPS I08, KATEGORISIERT
V330           330      GEGENW.EHEP.: ISEI NACH GANZEBOOM I08
V331           331      GEGENW.EHEP.: ISEI GANZEBOOM I08, KATEG.
V332           332      EHEP.: STATUS DER NICHTERWERBSTAETIGKEIT
V333           333      HABEN SIE EINEN FESTEN LEBENSPARTNER?
V334           334      LEBENSPARTNER: GEMEINSAMER HAUSHALT?
V335           335      LEBENSPARTNER: GEBURTSMONAT
V336           336      LEBENSPARTNER: GEBURTSJAHR
V337           337      LEBENSPARTNER: ALTER
V338           338      LEBENSPARTNER: ALTER, KAT.
V339           339      LEBENSPARTNER: ALLG.SCHULABSCHLUSS
V340           340      LEBENSPARTNER: BERUFL.-BETR. ANLERNZEIT
V341           341      LEBENSPARTNER: TEILFACHARBEITERABSCHLUSS
V342           342      LEBENSPARTNER: GEWERB.-,LANDWIRT. LEHRE
V343           343      LEBENSPARTNER: KAUFMAENNISCHE LEHRE
V344           344      LEBENSPARTNER: BERUFL.PRAKTIKUM, VOLONT.
V345           345      LEBENSPARTNER: BERUFSFACHSCHULABSCHLUSS
V346           346      LEBENSPARTNER: FACHSCHULABSCHLUSS
V347           347      LEBENSPARTNER: MEISTER-,TECHNIKERABSCHL.
V348           348      LEBENSPARTNER: FACHHOCHSCHULABSCHLUSS
V349           349      LEBENSPARTNER: HOCHSCHULABSCHLUSS
V350           350      LEBENSPARTNER: ANDERER BERUFL.ABSCHLUSS
V351           351      LEBENSPARTNER: KEINEN BERUFL. ABSCHLUSS
V352           352      LEBENSPARTNER: ART DES FH-ABSCHLUSSES
V353           353      LEBENSPARTNER: ART DES UNI-ABSCHLUSSES
V354           354      LEBENSPARTNER: ISCED 1997 - 6 STUFEN
V355           355      LEBENSPARTNER: ISCED 2011
V356           356      LEBENSPARTNER: BERUFSTAETIG?
V357           357      LEBENSPARTNER: JETZIGE BERUFL.STELLUNG
V358           358      LEBENSP.:JETZIGE BERUFL.STELL.KENNZIFFER
V359           359      LEBENSPARTNER: JETZIGER BERUF; ISCO 1988
V360           360      LEBENSPARTNER: SIOPS I88
V361           361      LEBENSPARTNER: SIOPS I88, KATEGORISIERT
V362           362      LEBENSPARTNER: ISEI NACH GANZEBOOM I88
V363           363      LEBENSPARTNER: ISEI GANZEBOOM I88, KAT.
V364           364      LEBENSPARTNER: JETZIGER BERUF; ISCO 2008
V365           365      LEBENSPARTNER: SIOPS I08
V366           366      LEBENSPARTNER: SIOPS I08, KATEGORISIERT
V367           367      LEBENSPARTNER: ISEI NACH GANZEBOOM I08
V368           368      LEBENSPARTNER: ISEI GANZEBOOM I08, KAT.
V369           369      LEBENSP: STATUS D.NICHTERWERBSTAETIGKEIT
V370           370      BEFR.: STAATSBUERGERSCHAFT, 1. NENNUNG
V371           371      BEFR.: STAATSBUERGERSCHAFT, 2. NENNUNG
V373           372      BEFR.: STAATSBUERGERSCHAFT 1 <STAGEBSYS>
V374           373      BEFR.: STAATSBUERGERSCHAFT 2 >STAGEBSYS>
V376           374      BEFR.: ZAHL DER STAATSBUERGERSCHAFTEN
V377           375      GEBURT IM HEUTIGEN DEUTSCHLAND?
V378           376      IMMIGRANT: SEIT WANN IN DEUTSCHLAND,JAHR
V379           377      IMMIGRANT: SEIT WANN IN DEUTSCHLAND,KAT.
V380           378      IMMIGRANT: WIEVIEL JAHRE IN DEUTSCHLAND?
V381           379      IMMIGRANT: JAHRE IN DEUTSCHLAND? KAT.
V382           380      BUNDESLAND, WO BEFRAGTER IN JUGEND LEBTE
V383           381      LAND, WO IN DER JUGEND GELEBT<STAGEBSYS>
V384           382      HERKUNFTSLAND: VATER <STAGEBSYS>
V385           383      HERKUNFTSLAND: MUTTER <STAGEBSYS>
V386           384      ELTERN: DAMALS MIT BEFR. ZUSAMMENGELEBT
V387           385      VATER: BERUFLICHE STELLUNG
V388           386      VATER: BERUFLICHE STELLUNG, KENNZIFFER
V389           387      VATER: BERUF; ISCO 1988
V390           388      VATER: SIOPS I88
V391           389      VATER: SIOPS I88, KATEGORISIERT
V392           390      VATER: ISEI NACH GANZEBOOM I88
V393           391      VATER: ISEI NACH GANZEBOOM I88, KATEG.
V394           392      VATER: BERUF; ISCO 2008
V395           393      VATER: SIOPS I08
V396           394      VATER: SIOPS I08, KATEGORISIERT
V397           395      VATER: ISEI NACH GANZEBOOM I08
V398           396      VATER: ISEI NACH GANZEBOOM I08, KATEG.
V399           397      MUTTER: BERUFLICHE STELLUNG
V400           398      MUTTER: BERUFLICHE STELLUNG, KENNZIFFER
V401           399      MUTTER: BERUF, DAMALS; ISCO 1988
V402           400      MUTTER: SIOPS I88
V403           401      MUTTER: SIOPS I88, KATEGORISIERT
V404           402      MUTTER: ISEI NACH GANZEBOOM I88
V405           403      MUTTER: ISEI NACH GANZEBOOM I88, KATEG.
V406           404      MUTTER: BERUF, DAMALS; ISCO 2008
V407           405      MUTTER: SIOPS I08
V408           406      MUTTER: SIOPS I08, KATEGORISIERT
V409           407      MUTTER: ISEI NACH GANZEBOOM I08
V410           408      MUTTER: ISEI NACH GANZEBOOM I08, KATEG.
V411           409      VATER: ALLGEMEINER SCHULABSCHLUSS
V412           410      MUTTER: ALLGEMEINER SCHULABSCHLUSS
V413           411      VATER: BERUFSAUSBILDUNG, HOECHST.ABSCHL.
V414           412      MUTTER: BERUFSAUSBILDUNG,HOECHST.ABSCHL.
V415           413      VATER: ISCED 1997 - 5 STUFEN
V416           414      MUTTER ISCED 1997 - 5 STUFEN
V417           415      BEFR.: NETTOEINKOMMEN, OFFENE ABFRAGE
V418           416      BEFR.: NETTOEINKOMMEN, LISTENABFRAGE
V419           417      BFR.:NETTOEINKOMMEN<OFFENE+LISTENANGABE>
V420           418      NETTOEINKOMMEN<OFFENE+LISTENANGABE>,KAT.
V421           419      MEHRPERSONENHAUSHALT?
